PROVISIONAL ,,,,,,,,,,,,,,,,
AREFNO,Borough,Boro,Latitude,Longitude,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,CasualtyCount,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1200235199,Barnet,30,51.59613303,-0.24788882,521457,190041,1,3 Pedestrian,2 Female,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian
1200235333,Waltham Forest,13,51.56196907,-0.01038181,538010,186663,2,2 Passenger,2 Female,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200235605,Bexley,18,51.45958504,0.12593521,547789,175544,1,3 Pedestrian,1 Male,0-4,1,1,3 Slight,04 Crossing Road Within 50M Xing,1 From Drivers N/Side,1 Pedestrian
1200235694,Hounslow,25,51.46668424,-0.36555573,513629,175457,1,2 Passenger,1 Male,0-4,1,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200236180,Croydon,20,51.41005597,-0.1005171,532201,169604,2,3 Pedestrian,1 Male,0-4,4,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200236180,Croydon,20,51.41005597,-0.1005171,532201,169604,3,3 Pedestrian,1 Male,0-4,4,1,3 Slight,10 Unknown Or Other,9 Unknown Or Other,1 Pedestrian
1200236352,Barking & Dagenham,16,51.5356946,0.07712236,544158,183910,1,3 Pedestrian,1 Male,0-4,4,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200236638,Hillingdon,26,51.54943058,-0.43195325,508820,184558,1,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200236708,Waltham Forest,13,51.59897784,-0.03576852,536140,190731,3,2 Passenger,2 Female,0-4,0,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200237012,Tower Hamlets,5,51.51734592,-0.03002753,536782,181664,1,3 Pedestrian,1 Male,0-4,2,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
